record_id,full_name,alias,dob,gender,crime_type,crime_details,date_committed,status,last_known_address
1,Haland,JD,12-06-1985,Male,Burglary,Broke into residential home,05-11-2024,Arrested,"123 Maple St, Springfield"
2,Mbape,,28-02-1990,Male,Fraud,Credit card fraud scheme,14-02-2025,Under Investigation,"456 Oak Ave, Riverdale"
3,Messi,Bobby,03-09-1978,Male,Assault,Bar fight injury,22-10-2024,Convicted,"789 Pine Rd, Hilltown"
4,Neymar,La Reina,17-12-1982,Male,Drug Trafficking,Smuggling cocaine,01-12-2024,Arrested,"321 Elm St, Lakeside"
5,Ronaldo,,05-04-1995,Male,Identity Theft,Stole SSN and opened accounts,20-01-2025,Under Investigation,"654 Cedar Blvd, Metro City"
6,Ahmed Khan,AK,19-07-1988,Male,Arson,Set fire to abandoned building,30-09-2024,Convicted,"987 Birch Ln, Oldtown"
7,Sarah O’Neil,Red,11-11-1992,Female,Shoplifting,Stole electronics from store,03-03-2025,Released,"159 Spruce Dr, Greenville"
8,Carlos Hernandez,El Tigre,25-08-1975,Male,Robbery,Held up a convenience store,15-08-2024,Convicted,"753 Willow Way, Eastvale"
9,Emily Davis,,30-03-1987,Female,Public Intoxication,Disorderly conduct downtown,10-04-2025,Released,"852 Poplar Ct, Pleasantville"
10,Michael Brown,Mike B,22-01-1980,Male,Money Laundering,Channeling illegal funds,18-12-2024,Under Investigation,"951 Fir St, Westport"
11,Aisha Patel,,14-05-1993,Female,Phishing,Sent phishing emails,27-02-2025,Arrested,"357 Chestnut Rd, Riverview"
12,David Wilson,Davy,08-10-1979,Male,Kidnapping,Abducted victim for ransom,07-07-2024,Convicted,"258 Aspen Pl, Brookfield"
13,Olivia Martinez,Liv,30-06-1984,Female,Vandalism,Sprayed graffiti on public property,20-03-2025,Under Investigation,"147 Magnolia Ln, Union City"
14,James Anderson,Jimmy A,16-09-1991,Male,Hit and Run,Left scene after collision,05-01-2025,Arrested,"369 Dogwood Dr, Pinecrest"
15,Emma Taylor,,22-11-1986,Female,Counterfeiting,Produced fake currency,12-10-2024,Convicted,"481 Sycamore Ave, Meadowbrook"
16,Christopher Lee,Chris,02-02-1977,Male,Bribery,Bribed public official,01-04-2025,Under Investigation,"624 Redwood St, Lakewood"
17,Isabella White,Bella,18-08-1994,Female,Cyberbullying,Harassed victim online,28-11-2024,Released,"736 Holly Ct, Greenfield"
18,Rajesh Singh,Raj,05-03-1989,Male,Forgery,Altered official documents,08-02-2025,Arrested,"864 Pinecone Rd, Silverton"
19,Sophia Clark,,09-12-1996,Female,Illegal Protesting,Blocked major roadway,18-09-2024,Released,"975 Oakleaf Dr, Cedar Grove"
20,Matthew Hall,Matty,27-07-1983,Male,Reckless Driving,High-speed chase,15-03-2025,Convicted,"186 Juniper St, Brookside"
